TEXT;Value
toshima1;1
toshima10;1
toshima100;1
toshima1000;1
toshima10000;0
toshima100000;0
toshima100001;0
toshima100002;0
toshima100003;0
toshima100004;0
toshima100005;0
toshima100006;0
toshima100007;0
toshima100008;0
toshima100009;0
toshima10001;0
toshima100010;0
toshima100011;0
toshima100012;0
toshima100013;0
toshima100014;0
toshima100015;0
toshima100016;0
toshima100017;0
toshima100018;0
toshima100019;0
toshima10002;0
toshima100020;0
toshima100021;0
toshima100022;0
toshima100023;0
toshima100024;0
toshima100025;0
toshima100026;0
toshima100027;0
toshima100028;0
toshima100029;0
toshima10003;0
toshima100030;0
toshima100031;0
toshima100032;0
toshima100033;0
toshima100034;0
toshima100035;0
toshima100036;0
toshima100037;0
toshima100038;0
toshima100039;0
toshima10004;0
toshima100040;0
toshima100041;0
toshima100042;0
toshima100043;0
toshima100044;0
toshima100045;0
toshima100046;0
toshima100047;0
toshima100048;0
toshima100049;0
toshima10005;0
toshima100050;0
toshima100051;0
toshima100052;0
toshima100053;0
toshima100054;0
toshima100055;0
toshima100056;0
toshima100057;0
toshima100058;0
toshima100059;0
toshima10006;0
toshima100060;0
toshima100061;0
toshima100062;0
toshima100063;0
toshima100064;0
toshima100065;0
toshima100066;0
toshima100067;0
toshima100068;0
toshima100069;0
toshima10007;0
toshima100070;0
toshima100071;0
toshima100072;0
toshima100073;0
toshima100074;0
toshima100075;0
toshima100076;0
toshima100077;0
toshima100078;0
toshima100079;0
toshima10008;0
toshima100080;0
toshima100081;0
toshima100082;0
toshima100083;0
toshima100084;0
toshima100085;0
toshima100086;0
toshima100087;0
toshima100088;0
toshima100089;0
toshima10009;0
toshima100090;0
toshima100091;0
toshima100092;0
toshima100093;0
toshima100094;0
toshima100095;0
toshima100096;0
toshima100097;0
toshima100098;0
toshima100099;0
toshima1001;1
toshima10010;0
toshima100100;0
toshima100101;0
toshima100102;0
toshima100103;0
toshima100104;0
toshima100105;0
toshima100106;0
toshima100107;0
toshima100108;0
toshima100109;0
toshima10011;0
toshima100110;0
toshima100111;0
toshima100112;0
toshima100113;0
toshima100114;0
toshima100115;0
toshima100116;0
toshima100117;0
toshima100118;0
toshima100119;0
toshima10012;0
toshima100120;0
toshima100121;0
toshima100122;0
toshima100123;0
toshima100124;0
toshima100125;0
toshima100126;0
toshima100127;0
toshima100128;0
toshima100129;0
toshima10013;0
toshima100130;0
toshima100131;0
toshima100132;0
toshima100133;0
toshima100134;0
toshima100135;0
toshima100136;0
toshima100137;0
toshima100138;0
toshima100139;0
toshima10014;0
toshima100140;0
toshima100141;0
toshima100142;0
toshima100143;0
toshima100144;0
toshima100145;0
toshima100146;0
toshima100147;0
toshima100148;0
toshima100149;0
toshima10015;0
toshima100150;0
toshima100151;0
toshima100152;0
toshima100153;0
toshima100154;0
toshima100155;0
toshima100156;0
toshima100157;0
toshima100158;0
toshima100159;0
toshima10016;0
toshima100160;0
toshima100161;0
toshima100162;0
toshima100163;0
toshima100164;0
toshima100165;0
toshima100166;0
toshima100167;0
toshima100168;0
toshima100169;0
toshima10017;0
toshima100170;0
toshima100171;0
toshima100172;0
toshima100173;0
toshima100174;0
toshima100175;0
toshima100176;0
toshima100177;0
toshima100178;0
toshima100179;0
toshima10018;0
toshima100180;0
toshima100181;0
toshima100182;0
toshima100183;0
toshima100184;0
toshima100185;0
toshima100186;0
toshima100187;0
toshima100188;0
toshima100189;0
toshima10019;0
toshima100190;0
toshima100191;0
toshima100192;0
toshima100193;0
toshima100194;0
toshima100195;0
toshima100196;0
toshima100197;0
toshima100198;0
toshima100199;0
toshima1002;1
toshima10020;0
toshima100200;0
toshima100201;0
toshima100202;0
toshima100203;0
toshima100204;0
toshima100205;0
toshima100206;0
toshima100207;0
toshima100208;0
toshima100209;0
toshima10021;0
toshima100210;0
toshima100211;0
toshima100212;0
toshima100213;0
toshima100214;0
toshima100215;0
toshima100216;0
toshima100217;0
toshima100218;0
toshima100219;0
toshima10022;0
toshima100220;0
toshima100221;0
toshima100222;0
toshima100223;0
toshima100224;0
toshima100225;0
toshima100226;0
toshima100227;0
toshima100228;0
toshima100229;0
toshima10023;0
toshima100230;0
toshima100231;0
toshima100232;0
toshima100233;0
toshima100234;0
toshima100235;0
toshima100236;0
toshima100237;0
toshima100238;0
toshima100239;0
toshima10024;0
toshima100240;0
toshima100241;0
toshima100242;0
toshima100243;0
toshima100244;0
toshima100245;0
toshima100246;0
toshima100247;0
toshima100248;0
toshima100249;0
toshima10025;0
toshima100250;0
toshima100251;0
toshima100252;0
toshima100253;0
toshima100254;0
toshima100255;0
toshima100256;0
toshima100257;0
toshima100258;0
toshima100259;0
toshima10026;0
toshima100260;0
toshima100261;0
toshima100262;0
toshima100263;0
toshima100264;0
toshima100265;0
toshima100266;0
toshima100267;0
toshima100268;0
toshima100269;0
toshima10027;0
toshima100270;0
toshima100271;0
toshima100272;0
toshima100273;0
toshima100274;0
toshima100275;0
toshima100276;0
toshima100277;0
toshima100278;0
toshima100279;0
toshima10028;0
toshima100280;0
toshima100281;0
toshima100282;0
toshima100283;0
toshima100284;0
toshima100285;0
toshima100286;0
toshima100287;0
toshima100288;0
toshima100289;0
toshima10029;0
toshima100290;0
toshima100291;0
toshima100292;0
toshima100293;0
toshima100294;0
toshima100295;0
toshima100296;0
toshima100297;0
toshima100298;0
toshima100299;0
toshima1003;1
toshima10030;0
toshima100300;0
toshima100301;0
toshima100302;0
toshima100303;0
toshima100304;0
toshima100305;0
toshima100306;0
toshima100307;0
toshima100308;0
toshima100309;0
toshima10031;0
toshima100310;0
toshima100311;0
toshima100312;0
toshima100313;0
toshima100314;0
toshima100315;0
toshima100316;0
toshima100317;0
toshima100318;0
toshima100319;0
toshima10032;0
toshima100320;0
toshima100321;0
toshima100322;0
toshima100323;0
toshima100324;0
toshima100325;0
toshima100326;0
toshima100327;0
toshima100328;0
toshima100329;0
toshima10033;0
toshima100330;0
toshima100331;0
toshima100332;0
toshima100333;0
toshima100334;0
toshima100335;0
toshima100336;0
toshima100337;0
toshima100338;0
toshima100339;0
toshima10034;0
toshima100340;0
toshima100341;0
toshima100342;0
toshima100343;0
toshima100344;0
toshima100345;0
toshima100346;0
toshima100347;0
toshima100348;0
toshima100349;0
toshima10035;0
toshima100350;0
toshima100351;0
toshima100352;0
toshima100353;0
toshima100354;0
toshima100355;0
toshima100356;0
toshima100357;0
toshima100358;0
toshima100359;0
toshima10036;0
toshima100360;0
toshima100361;0
toshima100362;0
toshima100363;0
toshima100364;0
toshima100365;0
toshima100366;0
toshima100367;0
toshima100368;0
toshima100369;0
toshima10037;0
toshima100370;0
toshima100371;0
toshima100372;0
toshima100373;0
toshima100374;0
toshima100375;0
toshima100376;0
toshima100377;0
toshima100378;0
toshima100379;0
toshima10038;0
toshima100380;0
toshima100381;0
toshima100382;0
toshima100383;0
toshima100384;0
toshima100385;0
toshima100386;0
toshima100387;0
toshima100388;0
toshima100389;0
toshima10039;0
toshima100390;0
toshima100391;0
toshima100392;0
toshima100393;0
toshima100394;0
toshima100395;0
toshima100396;0
toshima100397;0
toshima100398;0
toshima100399;0
toshima1004;1
toshima10040;0
toshima100400;0
toshima100401;0
toshima100402;0
toshima100403;0
